County/City,Total_Population,Total_Female_Population,White_Population,Median_Age,Median_Income,Female_Proportion,White_Proportion
Accomack County,33060,16935,22369,45.4,23865,0.5122504537205081,0.6766182698124622
Albemarle County,104287,54341,84955,38.9,33759,0.5210716580206546,0.8146269429554978
Alleghany County,15919,8131,14745,48.0,23959,0.5107732897795088,0.9262516489729254
Amelia County,12793,6151,9389,44.3,29253,0.48080981786914717,0.7339169858516376
Amherst County,31999,16653,24609,43.9,24936,0.5204225132035376,0.7690552829775931
Appomattox County,15314,7890,11869,42.8,28071,0.5152148360976884,0.7750424448217318
Arlington County,226092,113448,163181,34.1,62432,0.5017780372591688,0.7217460148965907
Augusta County,74330,36758,69292,44.5,26638,0.49452441813534237,0.9322211758374815
Bath County,4558,2093,4269,47.2,29341,0.4591926283457657,0.9365949978060553
Bedford County,76933,39045,69167,45.6,28293,0.5075195299806325,0.8990550219021746
Bland County,6612,2879,6283,44.9,24514,0.4354204476709014,0.9502419842710224
Botetourt County,33192,16767,31160,46.9,29564,0.5051518438177874,0.9387804290190407
Brunswick County,16573,7905,6964,42.6,17848,0.4769806311470464,0.4202015326132867
Buchanan County,23158,11485,22117,45.9,17445,0.4959409275412385,0.9550479316003109
Buckingham County,17030,7577,10513,42.4,20278,0.444920728126835,0.6173223722842044
Campbell County,55061,28316,44871,42.8,26065,0.5142659958954614,0.8149325293765097
Caroline County,29640,14963,19562,39.8,29432,0.5048245614035087,0.6599865047233469
Carroll County,29733,14836,28961,46.7,21527,0.4989742037466788,0.9740355833585578
Charles City County,7086,3630,2984,49.2,26929,0.5122777307366638,0.4211120519333898
Charlotte County,12232,6111,8292,44.7,17394,0.4995912361020275,0.6778940483976456
Chesterfield County,331839,172050,226791,38.6,35695,0.5184743203782557,0.6834368473868352
Clarke County,14307,7220,12757,45.4,35053,0.5046480743691899,0.8916614244775285
Craig County,5195,2686,5097,47.0,21775,0.5170356111645813,0.9811357074109721
Culpeper County,48952,24340,38196,38.9,31077,0.497221768262788,0.7802745546657951
Cumberland County,9769,4990,6144,44.4,23458,0.5107994677039616,0.6289282423994268
Dickenson County,15304,7490,15049,43.4,17649,0.4894145321484579,0.983337689492943
Dinwiddie County,28155,14252,18260,42.2,24796,0.5061978334221275,0.6485526549458356
Essex County,11130,5993,6123,45.0,23737,0.5384546271338724,0.5501347708894879
Fairfax County,1132887,572084,713476,37.6,50737,0.5049788725618707,0.6297856714747366
Fauquier County,68025,34366,59339,41.6,40152,0.5051966188901139,0.8723116501286292
Floyd County,15587,7905,14926,45.8,25283,0.507153397061654,0.9575928658497466
Fluvanna County,26046,14220,21128,42.6,32308,0.5459571527297857,0.8111802196114567
Franklin County,56230,28638,50007,45.4,25018,0.5093010848301618,0.8893295393917837
Frederick County,82321,41396,75113,40.3,31891,0.5028607524204031,0.9124403250689375
Giles County,16871,8638,16306,43.6,25631,0.512002845118843,0.9665105802856974
Gloucester County,37021,18754,32455,44.3,31390,0.5065773479916804,0.8766645957699684
Goochland County,21979,11188,17434,47.7,34618,0.5090313481050093,0.7932117020792575
Grayson County,15180,7717,14550,48.2,18685,0.5083662714097497,0.958498023715415
Greene County,19085,9764,16884,40.4,30956,0.5116059732774431,0.8846738276133089
Greensville County,11698,4444,4584,41.2,18203,0.37989399897418363,0.39186185672764573
Halifax County,35305,18461,21442,45.7,21350,0.5229004390312987,0.6073360713779918
Hanover County,102199,52095,88821,42.4,36856,0.5097407998121313,0.8690985234689185
Henrico County,321921,169837,186820,38.1,32794,0.5275735351219709,0.5803287141876423
Henry County,52209,27115,37817,46.2,19726,0.519354900496083,0.7243387155471279
Highland County,2230,1236,2220,59.8,24988,0.5542600896860986,0.9955156950672646
Isle of Wight County,36027,18427,26162,44.4,32129,0.5114775029838732,0.7261775890304494
James City County,71900,37024,57738,45.9,35461,0.5149374130737135,0.8030319888734353
King and Queen County,7140,3467,4901,45.8,27303,0.48557422969187675,0.6864145658263305
King George County,25260,12672,19389,37.0,37493,0.5016627078384798,0.7675771971496437
King William County,16156,8153,12384,40.9,33223,0.5046422381777668,0.7665263679128497
Lancaster County,11055,5927,7760,56.4,25847,0.5361374943464495,0.7019448213478064
Lee County,24911,11828,23286,43.2,16414,0.47481032475613183,0.9347677732728513
Loudoun County,362435,183120,244078,35.5,53260,0.5052492171009975,0.6734393753362672
Louisa County,34350,17476,26952,44.0,27686,0.5087627365356623,0.7846288209606986
Lunenburg County,12450,5952,7699,45.2,21735,0.47807228915662653,0.6183935742971888
Madison County,13122,6712,11231,44.6,23949,0.5115073921658284,0.8558908702941624
Mathews County,8848,4704,7619,51.5,27261,0.5316455696202531,0.8610985533453888
Mecklenburg County,31209,16076,19148,48.2,22075,0.5151078214617578,0.6135409657470602
Middlesex County,10728,5433,8351,53.1,26046,0.5064317673378076,0.7784302759134973
Montgomery County,97227,46863,83979,27.9,21268,0.4819957419235398,0.8637415532722392
Nelson County,14831,7660,12439,48.7,26902,0.5164857393297823,0.8387162025487155
New Kent County,20051,9836,16367,44.0,36299,0.4905490997955214,0.8162685152860206
Northampton County,12118,6346,7477,48.4,21013,0.5236837762006932,0.6170160092424493
Northumberland County,12272,6306,8605,55.5,30414,0.5138526727509778,0.7011897001303781
Nottoway County,15641,7158,8916,41.9,21742,0.4576433731858577,0.5700402787545553
